Mn,Ni,Mg,Ca,Fe,La,Y,In,J.uAcm2_0.80_fromCV,J.uAcm2_0.63_secondCA,J.uAcm2_0.63_initialCA
0.1,0.3,0.3,0.3,0,0,0,0,761.4895,2829.519048,1772.128571
0.5,0.1,0,0.3,0.1,0,0,0,931.21375,2826.42619,2772.769048
0.4,0,0.1,0,0.2,0.3,0,0,674.85965,2817.185714,2097.528571
0,0.2,0,0,0.8,0,0,0,759.1883,2809.059524,1450.704762
0.3,0,0,0.4,0.3,0,0,0,811.149,2797.697619,3422.345238
0,0.4,0,0.2,0.1,0.3,0,0,620.6605,2791.661905,724.1633333
0.2,0,0,0.2,0.5,0.1,0,0,970.719,2788.047619,1685.733333
0,0.4,0.2,0,0.1,0.3,0,0,702.167,2787.828571,375.2033333
0.3,0,0.3,0.2,0,0.2,0,0,,2785.504762,606.1442857
0.6,0,0.1,0,0.1,0.2,0,0,864.9625,2784.490476,3131.933333
0.4,0,0,0.2,0.4,0,0,0,628.189,2777.785714,4019.183333
0,0.1,0,0.1,0.2,0,0.6,0,615.8105,2776.119048,407.6114286
0,0.2,0.2,0.1,0,0.5,0,0,,2774.242857,484.557619
0,0.1,0.4,0.4,0,0.1,0,0,835.8425,2771.857143,1330.980952
0.5,0,0.1,0,0.3,0.1,0,0,841.974,2767.185714,
0.6,0,0,0.3,0,0,0.1,0,1195.07,2764.471429,2244.516667
0.2,0,0,0.3,0.2,0.3,0,0,796.17525,2763.952381,1660.647619
0.4,0.1,0,0,0.4,0.1,0,0,833.0355,2755.719048,2351.209524
0,0.2,0.5,0,0,0.3,0,0,739.60365,2751.661905,961.6066667
0.4,0,0.1,0.2,0,0.3,0,0,758.1655,2751.157143,879.2790476
0.6,0.4,0,0,0,0,0,0,392.388,2749.683333,2250.057143
0,0.4,0.3,0,0.1,0.2,0,0,866.4815,2748.757143,1041.348095
0.6,0,0.1,0,0.2,0,0.1,0,990.044,2745.3,3941.02381
0.5,0.2,0,0,0.2,0,0.1,0,851.799,2729.771429,2567.266667
0.7,0,0,0.2,0,0,0.1,0,212.1145,2729.390476,
0.4,0.1,0,0.1,0.4,0,0,0,829.9705,2724.438095,2877.695238
0,0.1,0,0.5,0.2,0.2,0,0,723.2325,2718.72381,1037.818571
0.3,0.3,0,0.1,0.3,0,0,0,702.00225,2711.390476,2542.290476
0.5,0.3,0,0,0.2,0,0,0,920.6675,2710.752381,2399.62381
0.6,0.1,0.1,0,0.2,0,0,0,806.47424,2710.585714,3329.592857
0.3,0,0.1,0,0.4,0.2,0,0,495.03819,2710.314286,1274.171429
0,0.3,0.4,0,0.2,0.1,0,0,913.824,2708.757143,
0.5,0.1,0,0,0.1,0.3,0,0,707.6636,2704.695238,706.04
0,0.3,0.2,0,0.1,0.4,0,0,785.4955,2702.42381,
0.6,0,0,0.1,0,0.3,0,0,851.480925,2699.342857,1776.288095
0,0.4,0.3,0.1,0,0.2,0,0,793.117195,2692.338095,492.0219048
0.1,0,0,0.2,0.6,0.1,0,0,,2691.290476,878.1928571
0.2,0,0.4,0.1,0,0.3,0,0,1007.0895,2685.890476,2021.171429
0.6,0,0,0.3,0.1,0,0,0,883.0735,2685.361905,
0,0.1,0,0.2,0.4,0.3,0,0,685.3529,2682.142857,835.8214286
0.5,0,0,0,0.4,0.1,0,0,811.4,2680.952381,2705.82381
0.3,0,0,0.2,0.3,0,0.2,0,858.2975,2680.714286,2334.9
0.5,0.1,0,0,0.4,0,0,0,1040.585,2670.638095,3741.395238
0.4,0,0,0.2,0.3,0.1,0,0,824.0385,2665.8,2954.533333
0.6,0,0.1,0.2,0,0,0.1,0,938.80415,2655.428571,3087.8
0.6,0,0,0,0.3,0.1,0,0,1168.5945,2654.678571,2250.292857
0.6,0,0.1,0,0.1,0,0.2,0,895.725,2654.166667,3166.319048
0.6,0,0,0.1,0.2,0,0.1,0,993.0045,2648.852381,2890.628571
0.5,0,0,0.1,0.4,0,0,0,764.4465,2645.838095,3275.842857
0.1,0,0.2,0.5,0.2,0,0,0,493.7782405,2637.147619,1169.804762
0.3,0,0.4,0.3,0,0,0,0,708.153925,2620.752381,1349.940476
0.3,0.2,0,0.1,0.4,0,0,0,895.2495,2620.185714,2621.566667
0.6,0.2,0,0,0.1,0,0.1,0,1016.762,2618.814286,
0.5,0.3,0,0.1,0.1,0,0,0,962.87,2618.516667,2420.833333
0.4,0,0.4,0.1,0,0.1,0,0,799.3735,2616.961905,1401.952381
0.1,0,0,0.2,0.5,0.2,0,0,612.3445,2616.62381,1453.161905
0.5,0.1,0,0.4,0,0,0,0,416.3335,2615.52619,2226.171429
0.6,0.1,0.1,0,0,0.2,0,0,1176.40405,2612.171429,2065.171429
0,0.2,0.1,0,0.6,0,0.1,0,779.941,2603.619048,
0,0.3,0.2,0,0.3,0,0.2,0,695.155,2602.785714,
0.7,0,0.1,0.1,0.1,0,0,0,1067.5505,2599.938095,3452.795238
0.2,0.4,0,0.1,0.3,0,0,0,563.4112225,2595.871429,2588.147619
0.3,0,0.1,0,0.5,0.1,0,0,599.7435,2591.17619,2457.071429
0.5,0,0,0,0.1,0.4,0,0,679.61025,2587.304762,1842.695714
0.6,0,0.1,0.1,0,0,0.2,0,1044.4635,2586.090476,2704.414286
0,0.2,0.3,0.2,0,0.3,0,0,602.12865,2581.733333,1306.619048
0.2,0.1,0.5,0,0,0.2,0,0,929.231,2579.866667,1144.87619
0.5,0,0,0.1,0.3,0,0.1,0,950.114,2579.304762,2792.542857
0.5,0,0,0.1,0.3,0.1,0,0,794.9005,2574.604762,2552.028571
0.3,0.1,0,0,0.6,0,0,0,924.1135,2574.338095,2055.561905
0.7,0,0.1,0.1,0,0,0.1,0,1164.166,2568.652381,4539.738095
0.2,0,0,0.4,0.4,0,0,0,803.386265,2566.283333,1088.695952
0.5,0.2,0,0,0.3,0,0,0,920.245,2566.019048,2645.966667
0.2,0,0,0.6,0.1,0.1,0,0,767.7106,2563.366667,1236.209524
0.4,0,0.2,0.3,0,0.1,0,0,747.038,2561.257143,3198.842857
0.2,0.2,0,0,0.2,0.4,0,0,734.3398682,2561.028571,1334.080952
0.5,0,0.1,0.2,0,0,0.2,0,,2554.404762,2046.690476
0.2,0.3,0.3,0,0,0.2,0,0,518.2537,2547.090476,1627.87619
0.7,0.1,0,0.2,0,0,0,0,899.68095,2543.166667,2234.830952
0.9,0,0,0,0.1,0,0,0,,2541.457143,3098.495238
0.5,0,0.2,0,0.2,0,0.1,0,,2541.204762,
0.1,0,0,0.4,0.3,0.2,0,0,603.173685,2539.647619,
0,0.1,0.3,0,0.3,0.3,0,0,722.4185,2537.257143,838.702381
0.4,0.4,0.1,0,0,0.1,0,0,630.25349,2533.680476,3691.171429
